influence,noise,repeat,consensus,final_variance,minority_share
0.2,0.0,0,1,0.0,0.0
0.2,0.0,1,0,0.21937500000000004,0.325
0.2,0.0,2,0,0.20999999999999994,0.3
0.2,0.02,0,0,0.10177500000000002,0.115
0.2,0.02,1,0,0.0736,0.08
0.2,0.02,2,0,0.06509999999999999,0.07
0.2,0.05,0,0,0.1476,0.18
0.2,0.05,1,0,0.12749999999999997,0.15
0.2,0.05,2,0,0.1204,0.14
0.2,0.1,0,0,0.18239999999999998,0.24
0.2,0.1,1,0,0.19240000000000002,0.26
0.2,0.1,2,0,0.203775,0.285
0.4,0.0,0,0,0.1771,0.23
0.4,0.0,1,0,0.21197500000000002,0.305
0.4,0.0,2,0,0.2176,0.32
0.4,0.02,0,0,0.060774999999999996,0.065
0.4,0.02,1,0,0.0291,0.03
0.4,0.02,2,0,0.024374999999999994,0.025
0.4,0.05,0,0,0.09790000000000003,0.11
0.4,0.05,1,0,0.07777500000000002,0.085
0.4,0.05,2,0,0.04749999999999998,0.05
0.4,0.1,0,0,0.13777500000000004,0.165
0.4,0.1,1,0,0.1659,0.21
0.4,0.1,2,0,0.1131,0.13
0.6,0.0,0,0,0.10559999999999999,0.12
0.6,0.0,1,0,0.19709999999999997,0.27
0.6,0.0,2,0,0.24960000000000002,0.48
0.6,0.02,0,0,0.038400000000000004,0.04
0.6,0.02,1,0,0.024374999999999994,0.025
0.6,0.02,2,0,0.019599999999999992,0.02
0.6,0.05,0,0,0.060775000000000017,0.065
0.6,0.05,1,0,0.051975000000000014,0.055
0.6,0.05,2,0,0.03840000000000001,0.04
0.6,0.1,0,0,0.09397499999999999,0.105
0.6,0.1,1,0,0.1056,0.12
0.6,0.1,2,0,0.069375,0.075
0.8,0.0,0,0,0.09000000000000002,0.1
0.8,0.0,1,0,0.24189999999999998,0.41
0.8,0.0,2,0,0.24877499999999997,0.465
0.8,0.02,0,0,0.033775000000000006,0.035
0.8,0.02,1,0,0.228975,0.355
0.8,0.02,2,0,0.249775,0.485
0.8,0.05,0,0,0.060775000000000017,0.065
0.8,0.05,1,0,0.04297500000000001,0.045
0.8,0.05,2,0,0.033775000000000006,0.035
0.8,0.1,0,0,0.08597499999999998,0.095
0.8,0.1,1,0,0.07777500000000002,0.085
0.8,0.1,2,0,0.06509999999999999,0.07
1.0,0.0,0,0,0.09000000000000002,0.1
1.0,0.0,1,0,0.242775,0.415
1.0,0.0,2,0,0.24360000000000007,0.42
1.0,0.02,0,0,0.0291,0.03
1.0,0.02,1,0,0.109375,0.125
1.0,0.02,2,0,0.019599999999999992,0.02
1.0,0.05,0,0,0.051975000000000014,0.055
1.0,0.05,1,0,0.024375,0.025
1.0,0.05,2,0,0.033775000000000006,0.035
1.0,0.1,0,0,0.06509999999999999,0.07
1.0,0.1,1,0,0.056400000000000006,0.06
1.0,0.1,2,0,0.0651,0.07
